Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
12,ETS_TD,95%,TD_IR,0.7700182729700604,1.1767809373266291,6.004682382381802
10,ETS_TD,99%,TD_IR,0.9535796279810711,12.361369914372213,14.305892276000721
11,ETS_TD,99%,TD_IR,0.883927595308376,4.298319683652428,22.37707226597427
12,ETS_TD,99%,TD_IR,0.8092161364381765,1.4705230979903863,24.634813776363377
10,ETS_MinT,90%,TD_IR,0.8493651314248232,6.214189675847441,4.773876939645119
11,ETS_MinT,90%,TD_IR,0.7669259241906011,2.3908453713781075,4.466331628075679
12,ETS_MinT,90%,TD_IR,0.7298071967389776,0.9484998584387385,3.4211157116504625
10,ETS_MinT,95%,TD_IR,0.893290540223961,7.764261599484028,6.776200588119731
11,ETS_MinT,95%,TD_IR,0.8078331693451405,2.8624973355947585,7.472526108941494
12,ETS_MinT,95%,TD_IR,0.7543222602258352,1.0783451266307342,6.414080425776276
10,ETS_MinT,99%,TD_IR,0.9450522419528651,10.815532363154604,17.022361340015422
11,ETS_MinT,99%,TD_IR,0.868348716987615,3.8044868631961015,25.405751918983906
12,ETS_MinT,99%,TD_IR,0.7934920114323197,1.3352981414916083,26.82298174644015
10,LGBM,90%,MinT_IR,0.973691608489903,11.952157154089143,0.904065836583387
11,LGBM,90%,MinT_IR,0.9210553030657983,4.227182410626933,1.6017744073776987
12,LGBM,90%,MinT_IR,0.873320292367521,1.6723552478856007,1.5117009705507702
10,LGBM,95%,MinT_IR,0.987044932764841,15.074115875793117,0.9398442404018039
11,LGBM,95%,MinT_IR,0.9480469787127708,5.22028227250612,2.1916289938182256
12,LGBM,95%,MinT_IR,0.8970587546268097,1.951529858654108,2.5617342111199695
10,LGBM,99%,MinT_IR,0.9963688328726046,20.998314165369624,1.4593511502667675
11,LGBM,99%,MinT_IR,0.9751753111871183,7.143846019311501,5.359889242486525
12,LGBM,99%,MinT_IR,0.9293257742585391,2.4909803921817217,9.078789684447365
10,LGBM_BU,90%,MinT_IR,0.9745232628965,11.958196864440511,0.9576471807482556
11,LGBM_BU,90%,MinT_IR,0.9229294538412282,4.221734319742188,1.6446749919617112
12,LGBM_BU,90%,MinT_IR,0.8731481047650284,1.6512651204230377,1.5553198744282117
10,LGBM_BU,95%,MinT_IR,0.98777116619032,15.053684921129628,1.0004335167227418
11,LGBM_BU,95%,MinT_IR,0.9493159349669681,5.205090135214112,2.2536092573028434
12,LGBM_BU,95%,MinT_IR,0.896991988005435,1.9267707185896124,2.6394360818489786
10,LGBM_BU,99%,MinT_IR,0.9965562479501476,20.932094904762884,1.534361762951822
11,LGBM_BU,99%,MinT_IR,0.9760186790360618,7.111968981927084,5.516165688221712
12,LGBM_BU,99%,MinT_IR,0.9295869840228647,2.4600617697747493,9.37236453666456
10,LGBM_TD,90%,MinT_IR,0.9709506629808368,11.810310730290395,0.9156129263538745
11,LGBM_TD,90%,MinT_IR,0.9164363023005201,4.1798510906834005,1.6239136453155418
12,LGBM_TD,90%,MinT_IR,0.8682202595698824,1.6436772082245297,1.5445478750361301
10,LGBM_TD,95%,MinT_IR,0.9858033078761186,14.902518820163174,0.9586652921457866
11,LGBM_TD,95%,MinT_IR,0.9446696028362148,5.163045198557765,2.235069125116385
12,LGBM_TD,95%,MinT_IR,0.8921519936278873,1.9190626992991295,2.626552443885277
10,LGBM_TD,99%,MinT_IR,0.9959354355057864,20.77144429293635,1.5183860879301179
11,LGBM_TD,99%,MinT_IR,0.9734182948351529,7.067063157264531,5.497098066642675
12,LGBM_TD,99%,MinT_IR,0.9253701447781474,2.45186075261272,9.355868291757305
10,LGBM_MinT,90%,MinT_IR,0.9709858033078761,11.810462857578665,0.9140245096796897
11,LGBM_MinT,90%,MinT_IR,0.9157842540099017,4.172760055225358,1.6054205816548262
12,LGBM_MinT,90%,MinT_IR,0.8674600571615987,1.639924879029011,1.5413320109563258
10,LGBM_MinT,95%,MinT_IR,0.9852644895281826,14.832923698319613,0.9808145301216509
11,LGBM_MinT,95%,MinT_IR,0.9437520498524107,5.133590547376382,2.2284530707203802
12,LGBM_MinT,95%,MinT_IR,0.8912125755517032,1.9093425452511044,2.6333004873571526
10,LGBM_MinT,99%,MinT_IR,0.9956425994471255,20.568091247514296,1.5806699413902
11,LGBM_MinT,99%,MinT_IR,0.9725475956207343,6.9950015707631,5.59471346019983
12,LGBM_MinT,99%,MinT_IR,0.9242679098533477,2.4298919401114527,9.45753394763936
10,ETS,90%,MinT_IR,0.953790469943307,11.683135435374282,1.444557530416141
11,ETS,90%,MinT_IR,0.8970193193709101,4.092710890102487,1.914808962862861
12,ETS,90%,MinT_IR,0.8479501475893736,1.504450725730757,1.7378238653052165
10,ETS,95%,MinT_IR,0.9765379749800871,14.850633964432776,1.516379350982618
11,ETS,95%,MinT_IR,0.9305236689625014,5.101250033648821,2.663339859045871
12,ETS,95%,MinT_IR,0.8739891299255025,1.786018692873074,2.9573836108939933
10,ETS,99%,MinT_IR,0.9927259523028628,20.893524289266765,2.344129782056388
11,ETS,99%,MinT_IR,0.9657069452904152,7.060528404574379,6.671177755577709
12,ETS,99%,MinT_IR,0.9112109356697746,2.3343639121427486,10.536587970470901
10,ETS_BU,90%,MinT_IR,0.9511198050883194,11.510670368794576,1.5687162783353525
11,ETS_BU,90%,MinT_IR,0.8933412984741289,4.023510808818527,1.9961198296850156
12,ETS_BU,90%,MinT_IR,0.8428208311858689,1.4645458805290175,1.8059681913676344
10,ETS_BU,95%,MinT_IR,0.9752026425525934,14.642989674985492,1.6692985211707907
11,ETS_BU,95%,MinT_IR,0.9275484546065065,5.019382989394892,2.7896760071897715
12,ETS_BU,95%,MinT_IR,0.8695204516703369,1.7417877155844583,3.0819600259266204
10,ETS_BU,99%,MinT_IR,0.9921637070702338,20.626419163930812,2.650598049263401
11,ETS_BU,99%,MinT_IR,0.9641295350544284,6.957218362867294,7.05723252608342
12,ETS_BU,99%,MinT_IR,0.9076980743100782,2.282335278248016,11.032499998231268
10,ETS_TD,90%,MinT_IR,0.9540013119055428,11.641153988707789,1.415793987843963
11,ETS_TD,90%,MinT_IR,0.8969256118321386,4.078212305113028,1.923036640189441
12,ETS_TD,90%,MinT_IR,0.8464672257883147,1.494879477073873,1.7564599478274385
10,ETS_TD,95%,MinT_IR,0.9768776648081338,14.768233229832074,1.4762871083093974
11,ETS_TD,95%,MinT_IR,0.9302347373846226,5.072772031539724,2.6808945055210347
12,ETS_TD,95%,MinT_IR,0.8728505833294289,1.7719822550979143,2.9965188743379945
